客戶ID,交易日期,交易金額,交易類型,分行代碼
0010033,2024/7/8,800,提款,002
0010006,2024/5/15,"5,000",提款,003
0010024,2024/1/5,８００,存款,003
0010047,2024年5月9日,N/A,提款,007
0010016,20-03-2024,"45,000",存款,002
0010034,12-01-2024,"1,200",轉帳,003
0010032,113/03/11,"NT$128,000",轉帳　,002
0010003,113/01/15,"45,000",消費,002
0010045,2024/2/12, 45000 ,提款,007
0010033,113/03/02,"1,200",消費,007
0010036,2024年7月17日,128000,轉帳,002
0010048,113/02/21,"1,234,567",提款,012
0010018,03-03-2024, 45000 ,消費,002
0010023,113/04/04,128000,存款,003
0010037,2024/2/6,８００,消費,012
0010039,30-01-2024,"NT$128,000", 消費,012
0010018,2024/3/18,34500,提款,012
0010050,2024年2月23日,800,轉帳,012
0010015,2024年3月20日, 128000 ,消費,007
0010023,2024/3/1,"NT$34,500",提款,001
0010046,2024年2月23日,"NT$45,000",提款,012
0010037,2024/4/2,45000,轉帳,012
0010023,18-07-2024,34500,提款,001
0010046,113/07/07,１２８０００,消費,001
0010020,2024-01-09,5000,轉帳,002
0010013,2024-04-26,"1,200",轉帳,012
0010015,113/01/14,"99,999", 提款,012
0010002,2024/6/17,1200,消費,002
0010047,29-04-2024,1200, 存款,007
0010003,22-04-2024, 34500 ,轉帳,012
0010008,113/01/25,800,提款,001
0010042,113/06/19,5000,提款,012
0010021,2024/5/8,"99,999",轉帳　,002
0010009,2024-01-14,"99,999",存款,007
0010050,2024/6/1,３４５００,存款,007
0096879,2024年6月12日,"5,000",消費　,012
0010047,113/03/14,5000,提款,001
0010040,23-05-2024,128000,消費,007
0010024,14-05-2024, 1200 , 消費,007
0010032,113/03/15,45000,消費,007
0010030,2024/7/11,99999, 存款,002
0010016,03-04-2024,1200,消費,001
0010022,113/07/11,128000, 提款,002
0010006,2024-07-09,1200,轉帳,007
0010021,17-01-2024, 800 ,轉帳,001
0010026,2024/6/29, 1234567 ,提款,002
0010041,113/05/10,800,提款,002
0010009,-,８００,轉帳,003
0010019,24-01-2024,45000,存款,002
0010031,2024年7月15日,128000,消費,001
0010037,113/04/29,34500,存款,003
0010045,16-06-2024,-,消費,007
0010016,2024年4月12日,1234567,提款,012
0010038,113/07/14,1200,提款,003
0091624,2024-07-01,"34,500",消費,007
0010009,2024/3/12,99999, 存款,012
0010003,2024/2/23,800,消費,002
0010033,01-01-2024,-,轉帳,007
0010033,2024/7/8,800,提款,002
